   timestamp          x        y      theta
1574185908.949799 -0.0000200 0.0000039 0.0010791
1574185911.883311 -0.0015573 0.2491114 0.0046635
1574185912.083309 0.0041525 0.3488236 -0.0248045
1574185912.516684 0.0076325 0.6469234 -0.0510349
1574185912.916688 0.0147259 0.9969112 -0.0564059
1574185913.383468 0.0236305 1.4847957 -0.1504890
1574185913.583440 0.0244650 1.7300708 -0.1494972
1574185913.816819 0.0203011 2.0047121 -0.1341049
1574185914.016821 0.0274873 2.2932243 -0.1806040
1574185914.250070 0.0252518 2.6175671 -0.1677069
1574185914.483455 0.0269585 2.9699295 -0.1812564
1574185914.683447 0.0292327 3.3123910 -0.2097680
1574185914.883448 0.0290797 3.6441948 -0.2577156
1574185915.116848 0.0305558 4.0370555 -0.2374821
1574185915.350200 0.0389948 4.4298353 -0.3585943
1574185915.550218 0.0344207 4.7854476 -0.3301170
1574185915.750218 0.0331320 5.1394582 -0.3014478
1574185915.983578 0.0297544 5.5340691 -0.2537518
1574185916.183583 0.0305763 5.9275694 -0.1747547
1574185916.416977 0.0372858 6.3272533 -0.2535227
1574185916.616960 0.0372356 6.7139611 -0.2352221
1574185916.883597 0.0544098 7.1433487 -0.3182153
1574185917.083585 0.0527978 7.5478954 -0.2840523
1574185917.283625 0.0525346 7.9448876 -0.2626162
1574185917.550337 0.0588306 8.4361353 -0.3099185
1574185917.783737 0.0585905 8.9150915 -0.3462500
1574185917.983715 0.0593152 9.3364944 -0.4325714
1574185918.183715 0.0608213 9.7768106 -0.4439628
1574185918.416969 0.0541487 10.2443132 -0.4930744
1574185918.617136 0.0481658 10.6541605 -0.5334651
1574185918.850347 0.0519503 11.1809969 -0.5508170
1574185919.050397 0.0468537 11.6444683 -0.6477727
1574185919.283722 0.0449786 12.1486969 -0.7108970
1574185919.517096 0.0386381 12.6664629 -0.7890238
1574185919.750497 0.0307448 13.2008648 -0.8749273
1574185919.950474 0.0216891 13.6865320 -0.9321430
1574185920.217106 0.0198030 14.2029219 -1.0611011
1574185920.417100 0.0105094 14.6806402 -1.1840421
1574185920.683877 -0.0088240 15.1223183 -1.3290522
1574185920.883854 -0.0214659 15.5831623 -1.4341491
1574185921.117231 -0.0162087 16.0423717 -1.5722812
1574185921.350505 -0.0038142 16.3912086 -1.8331438
1574185921.583880 -0.0845226 16.7021923 -1.7944196
1574185921.783877 -0.1328197 17.5201645 -2.2191005
1574185921.983883 -0.3316693 19.3053608 1.1466848
1574185922.250612 -0.3256889 19.7728672 -0.1441556
1574185922.483862 -0.1521816 19.8193378 -1.8677992
1574185922.717264 -0.3131472 20.4865627 -0.4662445
1574185922.950638 -0.2755454 20.8150978 -0.7092393
1574185923.217239 -0.2837136 22.2267113 -1.9785042
1574185923.450629 -0.2370402 22.5967674 -2.0488167
1574185923.650617 -0.2704311 23.0220509 -1.9288496
1574185923.884035 -0.2823996 23.6355438 -1.9302970
1574185924.083992 -0.3011482 24.1789227 -1.8778487
1574185924.317407 -0.3148643 24.7741261 -1.7772497
1574185924.550768 -0.3269700 25.3830700 -1.7624354
1574185924.784029 -0.3400833 25.9829044 -1.5667534
1574185925.017391 -0.3510002 26.5603218 -1.4563007
