   timestamp          x          y         theta        diff_angle
1575832010.078926 0.0000405 -0.0000188 -0.0006777 0.0006777
1575832010.879326 0.0039515 0.3826766 0.2378745 0.2371968
1575832011.112657 0.0041125 0.4915668 0.3232398 0.0853653
1575832011.779641 0.0069292 0.8112609 0.4956712 0.1724313
1575832012.679996 0.0299318 1.2365636 0.7575253 0.2618541
1575832013.613701 0.0642490 1.8584982 1.3097521 0.5522268
1575832014.314062 0.0981448 2.4999096 2.1485798 0.8388277
1575832015.281007 0.1478497 3.0705128 2.8133492 0.6647694
1575832016.981763 0.2077675 3.7261622 3.6046138 0.7912645
1575832018.615736 0.2395902 4.3784556 3.4723372 0.1322765
1575832019.982945 0.2078529 4.9718008 1.8955719 1.5767653
1575832021.183502 0.1693946 5.5247626 0.6311166 1.2644553
1575832022.584005 0.1216767 6.1775322 -0.5636994 0.0674172
1575832023.917864 0.0706351 6.7945147 -1.6520116 1.0883123
1575832025.085076 0.0378238 7.3249044 -2.1857576 0.5337460
1575832026.285602 -0.0007339 7.8591146 -2.4505217 0.2647641
1575832027.252608 -0.0274251 8.2790346 -2.7054262 0.2549045
1575832028.519821 -0.0654197 8.8337631 -3.1182542 0.4128280
1575832029.720362 -0.0915842 9.3610125 -3.0395253 0.0787289
1575832030.920833 -0.1001688 9.8895283 -2.5847588 0.4547665
1575832032.121362 -0.1066665 10.4342394 -2.1697059 0.4150529
1575832033.588656 -0.1106851 11.0979328 -1.6335183 0.5361875
1575832034.989212 -0.1019952 11.7392244 -0.9931895 0.6403289
1575832036.423076 -0.0911979 12.3945045 -0.3359251 0.6572644
1575832037.657093 -0.0742667 12.9621372 0.1407766 0.1951485
1575832038.857483 -0.0498341 13.5103235 0.5840574 0.4432808
1575832039.824606 -0.0295684 13.9489193 0.9808220 0.3967646
1575832040.891738 -0.0057814 14.4326239 1.4027283 0.4219064
1575832042.092178 0.0330518 14.9739809 1.8016894 0.3989611
1575832043.092684 0.0627461 15.4239054 2.1060328 0.3043435
1575832044.093060 0.0918701 15.8555994 2.5350749 0.4290421
1575832045.093429 0.1313739 16.2903137 3.0187628 0.4836879
1575832046.060544 0.1747122 16.7214470 3.5440526 0.5252898
1575832047.361186 0.2362330 17.3090801 4.1291289 0.5850763
1575832048.394951 0.2792695 17.7579212 4.4047480 0.2756190
1575832049.395291 0.3207759 18.1886330 4.5409927 0.1362448
1575832050.395665 0.3671745 18.6406097 4.6931953 0.1522026
1575832051.429553 0.4172057 19.1252556 4.8884792 0.1952839
1575832052.363286 0.4610056 19.5672588 5.2506490 0.3621697
1575832053.397044 0.5089186 20.0490055 5.5558848 0.3052359
1575832054.397444 0.5596054 20.5180264 5.7776833 0.2217984
1575832055.497963 0.6184484 21.0284939 5.9500976 0.1724143
1575832056.298267 0.6469595 21.3983841 5.7264767 0.2236209
1575832057.332024 0.6839546 21.8773518 5.4471650 0.2793117
1575832058.365792 0.7147194 22.3516331 5.2018328 0.2453322
1575832059.666417 0.7530994 22.9295368 4.7786384 0.4231944
1575832060.466715 0.7737250 23.2899857 4.5881495 0.1904888
1575832061.000294 0.7861811 23.5352802 4.4567938 0.1313558
1575832061.833978 0.7955915 23.9400311 3.8534122 0.6033816
1575832062.334206 0.7915922 24.1653614 3.4012110 0.4522011
1575832062.867754 0.7658023 24.3971615 2.5061414 0.8950696
1575832063.434594 0.7102462 24.6278934 1.0124414 1.4937000
1575832064.235015 0.5921000 24.9727345 -1.9563085 0.9438671
1575832064.501755 0.5471455 25.0885220 -2.9335248 0.9772164
1575832065.001929 0.4533498 25.3161373 -4.8708100 1.9372852
1575832065.535528 0.3425968 25.5585175 -6.9934382 2.1226282
1575832066.069085 0.2208133 25.7952385 -9.1456604 2.1522222
1575832066.636074 0.0692625 26.0277328 -11.6770639 2.5314035
1575832067.469766 -0.1838245 26.3506260 -15.7916517 4.1145878
1575832068.270045 -0.4638691 26.6482964 -20.0896931 4.2980413
1575832068.770239 -0.6698046 26.8080730 -23.3490849 3.2593918
1575832069.070349 -0.8030338 26.8854733 -25.5696278 2.2205429
1575832069.870780 -1.1981544 27.0460644 -32.4037209 6.8340931
1575832070.404234 -1.4768629 27.1104240 -37.2663727 4.8626518
1575832070.937809 -1.7818804 27.1605625 -42.3688545 5.1024818
1575832071.438149 -2.0820904 27.1821499 -47.5311508 5.1622963
1575832071.938315 -2.4133396 27.1715851 -53.2070389 5.6758881
1575832072.405119 -2.7226601 27.1419830 -58.3929024 5.1858635
1575832072.638587 -2.8713818 27.1289787 -60.5226669 2.1297646
1575832073.138771 -3.1842527 27.1198997 -64.3421402 3.8194733
1575832073.372234 -3.3222742 27.1213188 -65.7745209 1.4323807
1575832073.839165 -3.5857239 27.1280746 -68.1891632 2.4146423
1575832074.072506 -3.7128849 27.1326885 -69.2304230 1.0412598
1575832074.572695 -3.9915094 27.1485863 -71.1557083 1.9252853
1575832075.039618 -4.2395229 27.1611519 -72.8148651 1.6591568
1575832075.506547 -4.4898243 27.1704369 -74.2148361 1.3999710
1575832075.773300 -4.6311588 27.1752644 -74.9978867 0.7830505
