   timestamp          x          y         theta        diff_angle
1574453070.134648 0.0000091 -0.0000023 -0.0003200 0.0003200
1574453098.114605 0.0487106 0.4296438 0.6158783 0.6155584
1574453098.581451 0.0573616 0.5317897 0.7828590 0.1669807
1574453100.582370 0.0950124 0.8403215 1.2641351 0.4812761
1574453101.916269 0.1393855 1.1507823 1.7639730 0.4998379
1574453103.050084 0.1613499 1.4691497 1.7764370 0.0124640
1574453104.584189 0.1768899 1.9613935 1.6083515 0.1680856
1574453106.184821 0.2062153 2.4404984 1.4649339 0.1434176
1574453107.752190 0.2286918 2.9304609 1.3498045 0.1151294
1574453109.619664 0.2542828 3.4900944 1.2490132 0.1007913
1574453111.187044 0.2756469 3.9833639 0.9960747 0.2529385
1574453112.787770 0.2977698 4.4923239 0.9143358 0.0817389
1574453114.421768 0.3387856 5.0848198 1.0783150 0.1639792
1574453115.622348 0.3622670 5.5460916 1.1891388 0.1108238
1574453116.822805 0.3848804 6.0239897 1.2169207 0.0277820
1574453118.223461 0.4212459 6.6100974 1.0433393 0.1735815
1574453119.623991 0.4515982 7.1796036 1.1150160 0.0716767
1574453120.824568 0.4792897 7.6673212 1.3479149 0.2328990
1574453121.991770 0.5072146 8.1381340 1.4287711 0.0808562
1574453123.392291 0.5379410 8.6798534 1.5505549 0.1217837
1574453125.026261 0.5774186 9.2952843 1.5783147 0.0277598
1574453126.193432 0.6034405 9.7276669 1.5752499 0.0030648
1574453127.594081 0.6428013 10.2571964 1.6370488 0.0617989
1574453128.761245 0.6669838 10.6988564 1.4485320 0.1885169
1574453129.928291 0.6555134 11.1373825 0.5429945 0.9055375
1574453131.162246 0.5941142 11.5750608 -1.4834573 0.9404628
1574453132.562742 0.4256634 12.0731688 -5.8626156 4.3791580
1574453133.496456 0.2387049 12.3886213 -10.0334578 4.1708422
1574453134.263480 0.0599625 12.6335182 -13.6748571 3.6413994
1574453134.963730 -0.1187248 12.8436756 -16.9663715 3.2915144
1574453135.663986 -0.3020055 13.0292444 -20.2087784 3.2424068
1574453136.397613 -0.4980731 13.2144680 -23.5321255 3.3233471
1574453136.897914 -0.6386161 13.3280716 -25.8351440 2.3030186
1574453137.398093 -0.7784381 13.4306784 -27.9538822 2.1187382
1574453138.131728 -0.9964724 13.5725040 -31.3952217 3.4413395
1574453138.631921 -1.1647215 13.6645164 -34.0034561 2.6082344
1574453139.365537 -1.4521546 13.8012152 -38.2514992 4.2480431
1574453139.832324 -1.6490951 13.8816423 -41.0519295 2.8004303
1574453140.332625 -1.8651323 13.9573288 -44.0426369 2.9907074
1574453140.866062 -2.1018252 14.0295162 -47.1704788 3.1278419
1574453141.366362 -2.3246875 14.0868149 -50.0461998 2.8757210
1574453141.666468 -2.4599137 14.1148243 -51.7846527 1.7384529
1574453142.166642 -2.6908259 14.1532574 -54.6720734 2.8874207
1574453142.700202 -2.9495397 14.1800900 -57.9173203 3.2452469
1574453142.966945 -3.0766912 14.1939640 -59.4222412 1.5049210
1574453143.467092 -3.3064084 14.2107525 -62.1521454 2.7299042
1574453143.967391 -3.5404572 14.2218075 -64.8898849 2.7377396
1574453144.434178 -3.7558808 14.2302780 -67.0128250 2.1229401
1574453144.901091 -3.9614673 14.2410402 -68.9253464 1.9125214
1574453145.434658 -4.1780529 14.2536688 -70.8915939 1.9662476
1574453146.101505 -4.4647970 14.2675180 -73.1626129 2.2710190
1574453146.568412 -4.6562943 14.2648039 -74.7138443 1.5512314
1574453147.001938 -4.8360710 14.2541571 -76.1986542 1.4848099
1574453147.502112 -5.0444274 14.2506285 -77.6961212 1.4974670
1574453148.002303 -5.2552614 14.2421055 -79.1342621 1.4381409
1574453148.469061 -5.4432855 14.2417355 -80.2300110 1.0957489
1574453148.969381 -5.6420770 14.2483187 -81.1062164 0.8762054
