   timestamp          x          y         theta        diff_angle
1575235332.877695 -0.0000424 0.0000101 0.0013347 0.0013347
1575235346.011718 0.0153882 0.2989764 0.3275241 0.3261894
1575235346.111719 0.0200683 0.3335052 0.3580438 0.0305197
1575235346.545116 0.0317284 0.4939826 0.5439972 0.1859535
1575235347.111864 0.0482216 0.7010308 0.7775906 0.2335933
1575235347.778470 0.0696464 0.9610315 0.9715058 0.1939152
1575235348.378597 0.0748576 1.2433263 0.6920574 0.2794484
1575235348.945235 0.0765422 1.5790211 0.2897886 0.4022688
1575235349.278629 0.0747193 1.8024306 0.0385886 0.2512000
1575235349.611972 0.0712856 2.0622928 -0.3335584 0.2949698
1575235349.945349 0.0629684 2.3549294 -0.7511744 0.4176160
1575235350.245353 0.0553506 2.6270487 -1.1973621 0.4461877
1575235350.578725 0.0487766 2.9385934 -1.6958700 0.4985080
1575235350.878726 0.0402206 3.2241840 -1.9413437 0.2454736
1575235351.345351 0.0296018 3.6743610 -2.2435515 0.3022078
1575235351.712101 0.0192286 4.0358787 -2.4159048 0.1723533
1575235352.078733 0.0225232 4.3903503 -2.4431891 0.0272844
1575235352.378728 0.0247346 4.6816926 -2.2870939 0.1560953
1575235352.712103 0.0365253 5.0075712 -2.1136057 0.1734881
1575235353.078858 0.0520676 5.3749256 -1.8375221 0.2760836
1575235353.378854 0.0672995 5.6777902 -1.4860939 0.3514283
1575235353.745481 0.0852982 6.0500946 -1.1162241 0.3698698
1575235354.045505 0.1022636 6.3598986 -0.8413488 0.2748753
1575235354.245515 0.1116219 6.5636039 -0.6484177 0.1929311
1575235354.512232 0.1293702 6.8453903 -0.3799830 0.2684347
1575235354.778859 0.1501751 7.1294208 -0.1971138 0.1828693
1575235354.878859 0.1552108 7.2352948 -0.1113505 0.0857632
1575235355.045621 0.1684811 7.4216905 -0.0106903 0.1006602
1575235355.245609 0.1849823 7.6364207 0.1552851 0.1445947
1575235355.412236 0.1985679 7.8138971 0.2802077 0.1249226
1575235355.612233 0.2175899 8.0339422 0.4305151 0.1503074
1575235355.778984 0.2308990 8.2101555 0.5774891 0.1469740
1575235355.978984 0.2495877 8.4272757 0.7885343 0.2110451
1575235356.145611 0.2651292 8.6078129 0.9053488 0.1168146
1575235356.345612 0.2861902 8.8229723 1.0560184 0.1506695
1575235356.545612 0.3085581 9.0407143 1.2716384 0.2156200
1575235356.645612 0.3184818 9.1536560 1.3816421 0.1100037
1575235356.845644 0.3403710 9.3757172 1.5475814 0.1659393
1575235357.045734 0.3618978 9.6031761 1.7599535 0.2123721
1575235357.212361 0.3804870 9.7866488 1.9482586 0.1883051
1575235357.412362 0.4085010 10.0106840 2.1264894 0.1782308
1575235357.512396 0.4186143 10.1242886 2.2489250 0.1224356
1575235357.679020 0.4393965 10.3056507 2.4366035 0.1876786
1575235357.879114 0.4631334 10.5298367 2.4707677 0.0341642
1575235357.979113 0.4659164 10.6436338 2.4640970 0.0066707
1575235358.145738 0.4822707 10.8361444 2.3767641 0.0873330
1575235358.345738 0.4975724 11.0541563 2.3441269 0.0326371
1575235358.545738 0.5090652 11.2798119 2.3172038 0.0269232
1575235358.745738 0.5441107 11.3639355 2.2018156 0.1153882
1575235358.945766 0.5486544 11.7653255 2.1400788 0.0617368
1575235359.112488 0.5606004 12.0206623 2.0581071 0.0819716
1575235359.312490 0.5774560 12.3041277 1.9449221 0.1131850
1575235359.445739 0.5813434 12.4885540 1.9250920 0.0198301
1575235359.545866 0.5894042 12.6274204 1.8597732 0.0653188
1575235359.712490 0.6022915 12.8547964 1.8117698 0.0480033
1575235359.945866 0.6299701 13.2130690 1.5717504 0.2400194
1575235360.145866 0.6848127 13.6076403 1.1403487 0.4314017
1575235360.345866 0.6547958 13.7434025 1.2821698 0.1418211
1575235360.412491 0.6584587 13.8224344 1.2426580 0.0395118
1575235360.645866 0.6630023 14.0918036 1.1598232 0.0828348
1575235360.879274 0.6672262 14.3595915 1.0314481 0.1283751
1575235361.079279 0.6740666 14.5932798 0.9153032 0.1161450
1575235361.279245 0.6821853 14.8272085 0.8382621 0.0770411
1575235361.379246 0.6839378 14.9446507 0.8169893 0.0212728
1575235361.545891 0.6881685 15.1318293 0.6768062 0.1401832
1575235361.645869 0.6885718 15.2504778 0.6254887 0.0513175
1575235361.845868 0.6921654 15.4817572 0.5129817 0.1125070
1575235362.046031 0.6968156 15.7187099 0.3501690 0.1628127
1575235362.246023 0.6983631 15.9597883 0.3105936 0.0395753
1575235362.446019 0.7013740 16.1934910 0.1837144 0.1268793
1575235362.646000 0.7019869 16.4275627 -0.0010189 0.1826955
1575235362.779397 0.7037439 16.5793877 -0.0650421 0.0640232
1575235362.979397 0.7047760 16.8121281 -0.1862233 0.1211812
1575235363.179408 0.7025177 17.0365849 -0.2740715 0.0878483
1575235363.412620 0.7061847 17.3021851 -0.4483143 0.1742428
1575235363.612772 0.7073302 17.5337238 -0.5919532 0.1436388
1575235363.812746 0.7125847 17.7627697 -0.7316300 0.1396769
1575235363.945996 0.7107555 17.9145622 -0.6600416 0.0715884
1575235364.145996 0.7070628 18.1488991 -0.7022330 0.0421914
1575235364.346033 0.7087793 18.3733139 -0.8384023 0.1361693
1575235364.546122 0.7062303 18.6040764 -0.9604247 0.1220224
1575235364.746156 0.7030191 18.8297100 -1.0861403 0.1257156
1575235364.946122 0.6974509 19.0615673 -1.2565442 0.1704040
1575235365.079404 0.6944711 19.2116261 -1.3724948 0.1159506
1575235365.279500 0.6943628 19.4434700 -1.4890187 0.1165239
1575235365.379497 0.6907613 19.5593357 -1.4919040 0.0028853
1575235365.579528 0.6917247 19.7930202 -1.5709094 0.0790054
1575235365.779522 0.6976022 20.0227585 -1.5348191 0.0360903
1575235365.979505 0.6971769 20.2549877 -1.5326240 0.0021951
1575235366.112876 0.7009722 20.4032173 -1.4346527 0.0979713
1575235366.312876 0.7016530 20.6344547 -1.2909890 0.1436636
1575235366.546132 0.7067077 20.9012928 -1.1937668 0.0972222
1575235366.746127 0.7100331 21.1327400 -1.0401677 0.1535991
1575235366.846126 0.7121575 21.2481098 -0.9845313 0.0556364
1575235367.079536 0.7195027 21.5134411 -0.9018627 0.0826685
1575235367.279505 0.7276872 21.7431297 -0.7415164 0.1603464
1575235367.412880 0.7269981 21.8976059 -0.5986810 0.1428354
1575235367.612878 0.7323745 22.1327686 -0.3944836 0.2041974
1575235367.812916 0.7390754 22.3670406 -0.2152226 0.1792610
1575235368.012903 0.7490683 22.5987453 -0.0354198 0.1798028
1575235368.246293 0.7656183 22.8739338 0.1328239 0.0974041
1575235368.446294 0.7776794 23.1148815 0.3130718 0.1802478
1575235368.646256 0.7944253 23.3459072 0.4608527 0.1477810
1575235368.879647 0.8083003 23.6242542 0.6852672 0.2244145
1575235369.079680 0.8244610 23.8624287 0.7778892 0.0926220
1575235369.179647 0.8297567 23.9800701 0.9032786 0.1253894
1575235369.413006 0.8470262 24.2566223 1.1327541 0.2294755
1575235369.513007 0.8554478 24.3735714 1.1780424 0.0452883
1575235369.713007 0.8744741 24.6087990 1.3896406 0.2115982
1575235369.846386 0.8862530 24.7636356 1.4731547 0.0835141
1575235370.046383 0.9090852 25.0054970 1.5745124 0.1013577
1575235370.146388 0.9189543 25.1228809 1.6872234 0.1127111
1575235370.279758 0.9313025 25.2751064 1.7290864 0.0418630
1575235370.513011 0.9562836 25.5538940 1.9682996 0.2392132
1575235370.613010 0.9690326 25.6744576 2.0111010 0.0428014
1575235370.746384 0.9800497 25.8332825 2.1300426 0.1189415
1575235370.946385 1.0040742 26.0719604 2.2823031 0.1522605
1575235371.079760 1.0216033 26.2301311 2.4288740 0.1465709
