   timestamp          x        y      theta
1572538207.802240 0.0000358 0.0000115 0.0018719
1572538216.136064 0.0391461 0.1275814 0.1560246
1572538216.336068 0.0627596 0.1914597 0.2624009
1572538216.969446 0.0644861 0.3282530 0.8532910
1572538218.002829 0.1304708 0.6853059 0.9955041
1572538218.236229 0.1468714 0.7877955 0.9729764
1572538218.702843 0.1637201 0.9688684 1.1348468
1572538219.836219 0.2197395 1.4480940 1.2776675
1572538220.303010 0.2576007 1.7510659 1.3436319
1572538220.569601 0.2816207 1.9192580 1.3212228
1572538221.036374 0.3164363 2.1367683 1.5380385
1572538221.236355 0.3319722 2.2473228 1.5431666
1572538221.469733 0.3480566 2.3864162 1.6098906
1572538221.703006 0.3564415 2.5246506 1.6941541
1572538221.936368 0.3690523 2.6895103 1.6149783
1572538222.169742 0.3833463 2.7716908 1.6988825
1572538222.469747 0.4040586 2.8416240 1.8117075
1572538222.703123 0.4293771 2.8986673 1.7694422
1572538222.936492 0.4101083 3.0654013 1.7808542
1572538223.203126 0.4172876 3.2551486 1.6461766
1572538223.436523 0.4220808 3.4340694 1.4737673
1572538223.669753 0.4009005 3.5987139 1.3885521
1572538223.903128 0.4520243 3.6204197 1.1307746
1572538224.169884 0.4806372 3.7550740 0.8962753
1572538224.436513 0.4753781 3.9245248 0.8049875
1572538224.669884 0.4760654 4.0811806 0.6233470
1572538224.936525 0.4689377 4.2616849 0.6484815
1572538225.169887 0.4714706 4.4230132 0.5556487
1572538225.469892 0.4847017 4.6354113 0.3838649
1572538225.703272 0.4863715 4.7705913 0.3389443
1572538225.936649 0.4877906 4.9477034 0.2782450
1572538226.203310 0.4375169 5.1630177 0.4443970
1572538226.470039 0.5161381 5.1814342 0.2103222
1572538226.736654 0.5226676 5.3766189 0.1582909
1572538227.003282 0.5254857 5.5422597 0.1919246
1572538227.270054 0.5335779 5.7228179 0.1991566
1572538227.536659 0.5420840 5.8855686 0.2475386
1572538227.803410 0.5414795 6.0731769 0.3463160
1572538228.036798 0.5488128 6.2324176 0.2743253
1572538228.303416 0.5840065 6.3862128 0.1918452
1572538228.570069 0.5989624 6.5384202 0.2524408
1572538228.870212 0.6001754 6.7649326 0.3810001
1572538229.136804 0.6072795 6.9644775 0.5715230
1572538229.403423 0.6124001 7.1678233 0.6052873
1572538229.703551 0.6325218 7.3529735 0.6353955
1572538230.003556 0.6431697 7.5616231 0.7260224
1572538230.270181 0.6351516 7.7234988 0.9955398
1572538230.570181 0.6671490 7.9433465 0.8176181
1572538230.836961 0.6816096 8.1459036 0.8898453
1572538231.103591 0.6929243 8.3439436 0.9376753
1572538231.370319 0.7014309 8.5441656 1.0165967
1572538231.636959 0.7233331 8.7273512 0.8812066
1572538231.936971 0.6851316 9.0542765 1.0206163
1572538232.203702 0.7578504 9.1564150 0.8481693
1572538232.470328 0.7605354 9.3474693 0.8636240
1572538232.736953 0.7226262 9.5397043 1.0873840
1572538233.003712 0.8022630 9.7301722 0.8921252
1572538233.270351 0.7867852 9.9446774 1.0647206
1572538323.142177 0.9380543 10.5935087 -1.5334907
1572538329.342447 0.9570681 10.7616634 -1.4067204
1572538330.609250 0.9835411 11.0349035 -1.1421341
1572538331.575967 1.0040815 11.2563763 -0.8923303
1572538332.575973 1.0441188 11.4701757 -0.7275751
1572538333.542767 1.0546174 11.6785955 -0.4582427
1572538341.176541 1.0720301 11.8613062 -0.1527058
1572538342.143165 1.0812359 12.0068769 0.0551796
1572538343.376675 1.0903391 12.1690712 0.3477798
1572538344.443320 1.1082436 12.3508015 0.5049769
1572538345.743446 1.1220757 12.4813929 0.5472354
1572538346.743451 1.1376425 12.6400557 0.5311608
1572538347.776829 1.1427753 12.8170891 0.4335365
1572538348.610237 1.1538103 12.9377794 0.3801229
1572538349.376965 1.1515899 13.0529633 0.3507737
1572538350.576977 1.1543509 13.1803780 0.2926885
1572538351.043726 1.1592290 13.2510576 0.2709731
1572538351.777109 1.1630338 13.3688812 0.1687787
1572538352.510485 1.1664827 13.4646168 0.1287000
1572538353.477121 1.1750562 13.6003723 0.0790288
1572538354.210502 1.1760192 13.6958065 0.0929744
1572538355.177257 1.1810757 13.8364744 0.0338886
1572538355.910694 1.1857359 13.9344387 -0.0016805
1572538356.677395 1.1934928 14.0640898 -0.1551220
1572538357.377398 1.1999607 14.1905003 -0.2778737
1572538358.344157 1.2012283 14.3500338 -0.3678494
1572538358.577426 1.2004943 14.3907557 -0.4078442
1572538359.477536 1.2073318 14.5438051 -0.4958993
1572538360.177541 1.2104216 14.6539917 -0.5594580
1572538361.144300 1.2140516 14.7999992 -0.6703926
1572538361.877703 1.2184925 14.8985195 -0.7532886
1572538362.777685 1.2204988 15.0248747 -0.8388798
1572538363.477694 1.2228500 15.1035337 -0.9147724
1572538364.677821 1.2242047 15.2062378 -0.9726070
1572538365.411221 1.2206426 15.3687468 -1.2372940
1572538365.944578 1.2004020 15.4964294 -1.8541768
1572538366.444605 1.1681899 15.6355076 -2.7095656
1572538366.944613 1.1372548 15.7898169 -3.7198265
1572538367.477969 1.0890710 15.9495354 -4.8656778
1572538367.977995 1.0384730 16.0885277 -6.2697735
1572538368.411350 0.9826574 16.2206974 -7.4740186
1572538368.677977 0.9474523 16.3001404 -8.2338486
1572538369.178105 0.8800910 16.4456768 -9.7702703
1572538369.644733 0.8119318 16.5819206 -11.1279783
1572538369.878108 0.7775509 16.6456547 -11.8228922
1572538370.311488 0.7123072 16.7606831 -13.0444841
1572538370.778112 0.6491628 16.8662395 -14.2210808
1572538371.278117 0.5785680 16.9812927 -15.4560165
1572538371.744875 0.5060287 17.0929890 -16.7426605
1572538372.178272 0.4372659 17.2023697 -17.8996964
1572538372.444878 0.3874807 17.2671585 -18.6479759
1572538372.911629 0.3047905 17.3791008 -19.8903103
1572538373.378287 0.2144213 17.4947834 -21.2103977
1572538373.645034 0.1639571 17.5600891 -21.9572201
1572538374.111643 0.0725813 17.6699505 -23.2783337
