   timestamp          x        y      theta
1573077012.897035 0.0000523 -0.0000006 -0.0008520
1573077013.130291 0.0001359 0.0033578 0.1599538
1573077013.296999 0.0004503 0.0045514 0.1438314
1573077024.197400 -0.0001519 0.0677229 0.1765752
1573077024.730726 0.0024047 0.1993082 0.1235651
1573077025.097348 0.0057981 0.3022529 0.0480062
1573077025.664088 0.0068930 0.4685354 0.0012755
1573077026.630825 0.0113711 0.6286442 -0.1121037
1573077027.764188 0.0137566 0.8393346 -0.1572476
1573077028.364170 0.0209473 1.0772128 -0.1260169
1573077028.730792 0.0235443 1.2633262 -0.1362810
1573077029.164160 0.0388656 1.4785000 -0.1929111
1573077029.597532 0.0555668 1.6963050 -0.1852443
1573077029.964149 0.0652893 1.8927035 -0.1445824
1573077030.364268 0.0788710 2.1158683 -0.1557643
1573077030.764265 0.0893528 2.3378968 -0.0677090
1573077031.197632 0.1039316 2.5749052 0.0372516
1573077031.797621 0.1268860 2.9078457 0.1923993
1573077032.230996 0.1410974 3.1360631 0.3180521
1573077032.630985 0.1546759 3.3486767 0.4171890
1573077033.064357 0.1674471 3.5711999 0.5158054
1573077033.664390 0.1880207 3.8707247 0.5176687
1573077034.297713 0.2023502 4.1808596 0.4128468
1573077034.731111 0.2089887 4.3792086 0.3212614
1573077035.164323 0.2148266 4.5836973 0.2197117
1573077035.564439 0.2225346 4.7696223 0.1812625
1573077035.797686 0.2252583 4.8812475 0.1332767
1573077036.431055 0.2382478 5.1847095 -0.0085587
1573077036.864449 0.2457799 5.3828387 -0.0691477
1573077037.297807 0.2510098 5.5815864 -0.1393592
1573077037.697786 0.2549166 5.7654967 -0.1872687
1573077038.397800 0.2610932 6.0989304 -0.3981060
1573077038.797893 0.2617849 6.2926378 -0.4686943
1573077039.264510 0.2655386 6.5180631 -0.5792089
1573077039.697879 0.2697940 6.7331085 -0.6012744
1573077040.164495 0.2744925 6.9664783 -0.6359243
1573077040.564613 0.2823446 7.1624198 -0.6862537
1573077041.064609 0.2891479 7.4096279 -0.7754647
1573077041.497998 0.2955519 7.6192536 -0.8633638
1573077041.897973 0.3016908 7.8113632 -0.8333961
1573077042.364587 0.3039534 8.0248775 -0.9059295
1573077042.864604 0.3057039 8.2572184 -0.9634763
1573077043.297949 0.3087535 8.4673252 -0.9391344
1573077043.731320 0.3107827 8.6771870 -1.0229983
1573077044.198061 0.3178284 8.9041710 -1.1003107
1573077044.631307 0.3213475 9.1123199 -1.1022341
1573077045.064675 0.3222479 9.3252316 -1.2035357
1573077045.531461 0.3264550 9.5519123 -1.2661382
1573077045.998070 0.3296323 9.7677698 -1.2467315
1573077046.231405 0.3265754 9.8784552 -1.1897035
1573077046.698148 0.3283044 10.1025476 -1.2072679
1573077046.931398 0.3269775 10.2088184 -1.2147877
1573077047.364800 0.3325831 10.4243050 -1.2589642
1573077047.631511 0.3337209 10.5540152 -1.3155345
1573077048.098155 0.3325748 10.7853594 -1.3950031
1573077048.331501 0.3355358 10.8975286 -1.4495149
1573077048.731519 0.3332911 11.0892515 -1.4881537
1573077048.998113 0.3333559 11.2133532 -1.4997149
1573077049.431484 0.3325847 11.4206781 -1.5166179
1573077049.864866 0.3331488 11.6241016 -1.5360113
1573077050.131598 0.3370869 11.7487068 -1.5331372
1573077050.564842 0.3372545 11.9576635 -1.5232263
1573077051.064955 0.3410903 12.1977053 -1.6200200
1573077051.531577 0.3378150 12.4247017 -1.6133904
1573077051.964946 0.3380559 12.6339111 -1.7094924
1573077052.398316 0.3370726 12.8436213 -1.7662445
1573077052.831682 0.3329654 13.0517807 -1.8146194
1573077053.298301 0.3278984 13.2854929 -1.8670048
1573077053.731693 0.3350537 13.4968119 -1.9589013
1573077053.965038 0.3342461 13.6084127 -1.9665763
1573077054.198287 0.3370544 13.7189198 -1.9435992
1573077054.665051 0.3415752 13.9402523 -1.9905536
1573077055.098400 0.3413612 14.1396151 -1.8709136
1573077055.498398 0.3447700 14.3232718 -1.8526452
1573077055.731698 0.3432048 14.4309483 -1.7944322
1573077056.164320 0.3416091 14.6319208 -1.7312907
1573077056.630420 0.3393779 14.8488894 -1.7160932
1573077057.029902 0.3383793 15.0400047 -1.5619699
1573077057.728996 0.3402517 15.3776016 -1.4975562
1573077057.962095 0.3406525 15.4866676 -1.4665565
1573077058.361619 0.3437881 15.6765528 -1.4629207
1573077058.827796 0.3408026 15.8982286 -1.4302027
1573077059.293892 0.3406658 16.1174965 -1.5640152
1573077059.726777 0.3367237 16.3150997 -1.5718975
1573077060.159685 0.3319574 16.5101299 -1.5751686
1573077060.559258 0.3286328 16.6980000 -1.6596904
1573077060.792389 0.3269878 16.8091583 -1.7043008
1573077060.992188 0.3277087 16.9015598 -1.7223506
1573077061.425128 0.3198062 17.1020298 -1.8338636
1573077061.658268 0.3218490 17.2109890 -1.9195412
1573077062.057894 0.3274957 17.3985691 -2.0981345
1573077062.490858 0.3115905 17.6015358 -2.2292714
1573077062.690686 0.3058510 17.6960697 -2.3265805
1573077063.123557 0.2957873 17.8980103 -2.5695426
1573077063.556529 0.2721265 18.0994205 -2.9559219
1573077063.789720 0.2527695 18.2017860 -3.3184612
1573077064.022882 0.2342229 18.3034973 -3.6494389
1573077064.422554 0.1993983 18.4770145 -4.2060881
1573077064.655733 0.1698024 18.5773106 -4.6511755
1573077065.055419 0.1097705 18.7492504 -5.5444951
1573077065.521687 0.0384004 18.9477367 -6.7058864
1573077065.721562 0.0071282 19.0368271 -7.1606121
1573077066.154585 -0.0741680 19.2202148 -8.4069271
1573077066.387789 -0.1205108 19.3195019 -9.1687822
1573077066.820855 -0.2188587 19.5044422 -10.5742712
1573077067.220584 -0.3239069 19.6686745 -12.2325535
1573077067.687010 -0.4583902 19.8627987 -14.2450666
1573077068.086751 -0.5886168 20.0212784 -16.0869331
1573077068.519725 -0.7355947 20.1922092 -18.2104034
1573077068.986181 -0.9063063 20.3803234 -20.4196796
1573077069.419294 -1.0714221 20.5429039 -22.5133286
1573077069.852432 -1.2497334 20.7060852 -24.6369171
1573077070.285556 -1.4217496 20.8587170 -26.8373909
1573077070.518666 -1.5231943 20.9353638 -28.0081348
1573077071.018388 -1.7410588 21.1000500 -30.4404411
1573077071.251640 -1.8443508 21.1711426 -31.6017838
