   timestamp          x          y         theta        diff_angle
1573324214.716642 0.0000566 -0.0000035 -0.0008128 0.0008128
1573324224.750304 0.0060881 0.4990525 -0.3299061 0.3290933
1573324224.983697 0.0055551 0.6070559 -0.4296624 0.0997563
1573324225.683663 0.0083973 0.9622425 -0.5880133 0.1583509
1573324226.383651 0.0173740 1.3122663 -0.8071756 0.2191623
1573324227.383624 0.0265910 1.8154367 -0.9065655 0.0993899
1573324228.250378 0.0397381 2.2510788 -0.8251350 0.0814305
1573324229.317080 0.0522382 2.7789650 -0.5450346 0.2801003
1573324230.417081 0.0562157 3.3046257 -0.6351576 0.0901230
1573324231.350433 0.0608207 3.7317467 -0.7799426 0.1447849
1573324232.450515 0.0673538 4.2291031 -0.8147269 0.0347844
1573324233.783858 0.0772226 4.8269539 -0.8400609 0.0253339
1573324234.683841 0.0822656 5.2302470 -0.8302989 0.0097620
1573324236.050583 0.0989101 5.8278918 -0.7341830 0.0961159
1573324237.383908 0.1142299 6.4234285 -0.5255836 0.2085993
1573324238.550636 0.1446957 7.0044985 -0.2162470 0.3093367
1573324239.517362 0.1748176 7.4691858 0.0290528 0.1871942
1573324240.650720 0.1992596 7.9941564 0.3951638 0.3661110
1573324242.050807 0.2152812 8.6392136 0.2164325 0.1787313
1573324243.250786 0.2222073 9.1860962 -0.0137354 0.2026971
1573324244.650881 0.2264508 9.8368015 -0.3048528 0.2911174
1573324245.984244 0.2330387 10.4717398 -0.5111465 0.2062937
1573324247.350948 0.2478275 11.1169786 -0.4632365 0.0479100
1573324248.684321 0.2602741 11.7684994 -0.5319996 0.0687631
1573324249.851019 0.2666020 12.3181028 -0.5058966 0.0261031
1573324251.084388 0.2764676 12.8955917 -0.6423135 0.1364170
1573324252.284370 0.2913577 13.4468708 -0.6423452 0.0000317
1573324253.451068 0.3028392 13.9630394 -0.5852427 0.0571025
1573324254.617822 0.3171153 14.4955311 -0.3673832 0.2178595
1573324255.751145 0.3315627 15.0183754 -0.1849954 0.1823878
1573324256.951129 0.3529957 15.5637426 -0.0070146 0.1779808
1573324257.917853 0.3657114 16.0019588 0.0887498 0.0817351
1573324258.884583 0.3831319 16.4371071 0.1517845 0.0630348
1573324259.617967 0.4006112 16.7476368 0.1939807 0.0421961
1573324260.551297 0.4213974 17.1720333 0.3571810 0.1632004
1573324261.484654 0.4434536 17.6162834 0.4380345 0.0808535
1573324262.451269 0.4627845 18.0837498 0.5851704 0.1471359
1573324263.584733 0.4433101 18.5941257 -0.5917383 0.0065679
1573324264.884710 0.3424120 19.1650734 -3.3100786 2.7183404
1573324266.318055 0.1467936 19.7843132 -7.3104587 4.0003800
1573324267.284785 -0.1042070 20.1471329 -12.4191589 5.1087003
1573324268.051519 -0.3481660 20.4220486 -16.9333115 4.5141525
1573324269.018127 -0.6932907 20.7505550 -22.7635784 5.8302670
1573324269.984856 -1.1045561 21.0689487 -29.1107731 6.3471947
1573324270.951600 -1.5468435 21.3334560 -35.4139748 6.3032017
1573324271.651565 -1.8895407 21.4988384 -40.0415802 4.6276054
1573324272.418301 -2.2845545 21.6424561 -45.2409554 5.1993752
1573324273.151661 -2.6732635 21.7507286 -50.2746086 5.0336533
1573324273.851686 -3.0388088 21.8165417 -54.9424133 4.6678047
1573324274.551639 -3.4122620 21.8502560 -59.6711502 4.7287369
1573324275.018402 -3.6586075 21.8596668 -62.6902084 3.0190582
1573324275.484994 -3.9181876 21.8487301 -65.8799210 3.1897125
1573324275.951735 -4.1778326 21.8228092 -69.1882019 3.3082809
1573324276.618354 -4.5539722 21.7675018 -73.8415222 4.6533203
1573324277.351702 -4.9611125 21.6701851 -79.0464096 5.2048874
1573324278.018491 -5.3195286 21.5525093 -83.5749664 4.5285568
1573324278.651800 -5.6635795 21.4511738 -87.1974411 3.6224747
1573324279.518529 -6.1215310 21.3726768 -89.8772125 2.6797714
1573324280.418514 -6.5856061 21.3838654 -90.0329895 0.1557770
1573324281.051876 -6.9163427 21.4092045 -89.6180801 0.4149094
1573324281.985269 -7.4219651 21.4569359 -89.0830841 0.5349960
1573324282.885238 -7.9037557 21.4995747 -88.5550461 0.5280380
1573324283.785315 -8.3843031 21.5502987 -87.9784927 0.5765533
1573324284.685300 -8.8698063 21.6035500 -87.6226196 0.3558731
1573324285.585298 -9.3589535 21.6527691 -87.2364883 0.3861313
1573324286.218645 -9.6959953 21.6873341 -86.9408569 0.2956314
1573324286.918627 -10.0677958 21.7268620 -86.7187271 0.2221298
1573324287.785370 -10.5211878 21.7744827 -86.3997803 0.3189468
1573324288.285395 -10.7742462 21.8015308 -86.2535934 0.1461868
1573324288.918714 -11.0869942 21.8276272 -86.2948074 0.0412140
1573324289.752072 -11.4903965 21.8237686 -87.2096024 0.9147949
1573324290.418809 -11.8309088 21.8108749 -88.1588516 0.9492493
1573324291.318792 -12.3378515 21.7428398 -90.3686218 2.2097702
1573324291.752158 -12.5813389 21.6724911 -92.1410599 1.7724380
1573324292.418918 -12.9455938 21.5321693 -95.5642014 3.4231415
1573324293.085506 -13.3118076 21.3324451 -99.9296036 4.3654022
1573324293.752246 -13.6673775 21.0585632 -105.3235855 5.3939819
1573324294.385603 -13.9927778 20.7547646 -110.7770996 5.4535141
1573324295.085591 -14.3289366 20.3638020 -117.2077484 6.4306488
1573324295.552204 -14.5510273 20.0632172 -121.7366104 4.5288620
1573324295.985609 -14.7449837 19.7311974 -126.4704971 4.7338867
1573324296.252319 -14.8526058 19.5126324 -129.4775848 3.0070877
1573324296.685681 -15.0122337 19.1360207 -134.4471436 4.9695587
1573324297.152299 -15.1482182 18.6946373 -140.0158386 5.5686951
1573324297.619041 -15.2497282 18.2208977 -145.7743835 5.7585449
1573324298.085655 -15.3258085 17.7369881 -151.2471313 5.4727478
1573324298.519024 -15.3697910 17.2790565 -155.9176178 4.6704865
1573324298.752429 -15.3737698 17.0343628 -158.3972473 2.4796295
1573324299.185758 -15.3707085 16.5850773 -162.8838501 4.4866028
1573324299.419008 -15.3495083 16.3667870 -165.1133881 2.2295380
1573324299.885752 -15.3068256 15.9545202 -169.0586395 3.9452515
1573324300.352396 -15.2839746 15.5758448 -171.7285309 2.6698914
1573324300.819100 -15.2576551 15.2141962 -173.9812775 2.2527466
1573324301.485714 -15.2438173 14.6709194 -176.3516998 2.3704224
1573324301.919078 -15.2257204 14.3855934 -177.4738159 1.1221161
1573324302.385821 -15.2184515 14.0872707 -178.2765198 0.8027039
1573324302.852436 -15.2232342 13.8099861 -178.6807404 0.4042206
1573324303.352424 -15.2321119 13.5167990 -178.9886322 0.3078918
1573324304.052538 -15.2479944 13.1182718 -179.1844025 0.1957703
1573324304.552525 -15.2600660 12.8489752 -179.2676239 0.0832214
1573324305.319259 -15.2793779 12.4224024 -179.2702637 0.0026398
1573324305.985872 -15.3019524 12.0396976 -179.2693329 0.0009308
1573324306.685856 -15.3289661 11.5991030 -179.1884460 0.0808868
1573324307.385966 -15.3560572 11.1465921 -179.0631866 0.1252594
1573324308.052577 -15.3827438 10.7037239 -178.9489136 0.1142731
1573324308.752698 -15.4077225 10.1766062 -179.0304413 0.0815277
1573324309.252685 -15.4253712 9.7687321 -179.1244202 0.0939789
1573324309.752714 -15.4410553 9.3476791 -179.2507324 0.1263123
1573324310.252661 -15.4605246 8.9215841 -179.2987671 0.0480347
1573324310.552671 -15.4656305 8.6680679 -179.4279480 0.1291809
1573324311.052667 -15.4810247 8.2278452 -179.5264282 0.0984802
1573324311.486014 -15.4972620 7.8338056 -179.5098572 0.0165710
1573324311.952755 -15.5101891 7.4088697 -179.5516510 0.0417938
1573324312.452777 -15.5254984 6.9374509 -179.5444489 0.0072021
1573324312.919484 -15.5360479 6.5121017 -179.6196442 0.0751953
1573324313.619467 -15.5525312 5.9092383 -179.8714447 0.2518005
1573324313.852839 -15.5600357 5.7210445 179.9934540 0.1220093
1573324314.319457 -15.5641356 5.3381467 179.7886047 0.2048492
1573324314.752822 -15.5741959 4.9877739 179.6050568 0.1835480
1573324315.252810 -15.5796242 4.5749707 179.5319672 0.0730896
1573324315.719578 -15.5943069 4.1921129 179.6741943 0.1422272
1573324316.186168 -15.6130810 3.8073068 179.8825378 0.2083435
1573324316.386164 -15.6248884 3.6498365 -179.9723053 0.0897675
1573324316.886156 -15.6454821 3.2418120 -179.7440643 0.2282410
1573324317.352931 -15.6796741 2.8452315 -179.2703094 0.4737549
1573324317.819636 -15.7225857 2.4348059 -178.7698975 0.5004120
1573324318.086256 -15.7496548 2.1949205 -178.5020752 0.2678223
