   timestamp          x        y      theta
1573318350.537227 -0.0000345 -0.0000178 0.0026806
1573318357.570666 0.0012633 0.2660992 -0.0111033
1573318357.670657 0.0032237 0.2814354 0.1188334
1573318358.337387 0.0025785 0.4052192 -0.8578860
1573318358.937371 -0.0050639 0.5182197 -3.4904351
1573318359.804123 -0.0177637 0.6574830 -6.0637407
1573318360.804070 -0.0443216 0.8497930 -9.3260984
1573318361.737422 -0.0716259 0.9924932 -11.0755463
1573318363.004169 -0.0988522 1.2288510 -7.9920716
1573318364.137514 -0.1154379 1.4667028 -4.6985765
1573318365.337572 -0.1389498 1.7158273 -6.8294692
1573318366.670938 -0.1835399 1.9542410 -13.8680401
1573318368.070874 -0.2731131 2.1869912 -25.0874653
1573318369.604337 -0.4026771 2.3942976 -38.6976166
1573318371.304293 -0.5892481 2.5702648 -52.6493797
1573318373.304396 -0.8723652 2.7037580 -74.3006058
1573318375.771145 -1.2224314 2.7277617 -93.3133850
1573318378.204722 -1.7039964 2.6670036 -102.1728973
1573318380.138118 -2.0892611 2.5671644 -111.7152176
1573318383.671696 -2.4482934 2.4002442 -122.2939987
1573318400.772937 -2.6395659 2.2436767 -133.4172363
1573318403.506492 -2.7246320 2.0655291 -158.6845245
1573318404.773273 -2.7474375 1.9031653 -174.6966705
1573318406.573304 -2.7104967 1.5975868 169.5582123
1573318413.640437 -2.6485987 1.1651587 173.6355286
1573318415.807386 -2.5937150 0.6724153 171.6678925
1573318417.707414 -2.5484960 0.1584592 174.0740967
1573318420.307561 -2.4970458 -0.4687583 170.0384674
1573318422.407746 -2.4044409 -0.9370902 161.6256256
1573318424.541259 -2.2830293 -1.2833222 151.5768585
1573318426.374665 -2.1060483 -1.5336784 137.6720123
1573318428.608201 -1.8214813 -1.7087059 112.2216721
1573318430.808362 -1.4315407 -1.7734728 91.3308334
1573318432.975149 -0.9774615 -1.7453195 79.9480362
1573318434.708552 -0.5919936 -1.6435751 68.7439957
1573318436.075323 -0.3434428 -1.5066595 55.3518715
1573318437.675474 -0.2032653 -1.3400377 35.5534592
1573318438.775493 -0.1056837 -1.1553849 24.1332283
1573318440.042259 -0.0294777 -0.9085258 13.6265011
1573318441.442313 -0.0072532 -0.6478322 0.4380404
1573318444.009195 -0.0558935 -0.2131327 -10.2173071
1573413472.621903 0.0000000 0.0000000 0.0000000
